CNPJ|Nome|Ouvidor|WebSite|Telefone
39993186|FORIS GFS BR INSTITUICAO DE PAGAMENTO LTDA|MAXWELL SILVA BRAGA|https://crypto.com/br|08008783059
77162881|DEBONI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA|SANDRO EMANUEL COELHO|www.debonicambio.com.br|08008066161
05747018|COOPERATIVA DE CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA FIEP, SESI, SENAI, IEL E DO CONDOMÍNIO AGOSTINHO VELLOSO DA SILVEIRA (CEAVS) - CREDFISP LTDA.|NAIADE VACCARIELLO DE ALMEIDA|www.credfisp.com.br|(00) 00000000
04323351|MORGAN STANLEY CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.|PATRICIA MOREIRA MENDES||08007746058
68318773|CANOPUS ADMINISTRADORA DE CONSORCIOS S/A|GILBERTO JOAO SANDRIN|www.consorciocanopus.com.br|08007243152
23767155|RECON ADMINISTRADORA DE CONSORCIOS LTDA|LAYANE AVILA DE PAULA|www.consorciorecon.com.br|08002838150
04694278|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS INTEGRANTES DO MINISTÉRIO PÚBLICO E DA DEFENSORIA PÚBLICA NO ESTADO DO RIO DE JANEIRO LIMITADA. - SICOOB COMPERJ|ANA CRISTINA KAMIMURA ANDRADE|www.sicoobcoomperj.com.br|08007250996
04230630|JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO|JULIANA VIEIRA SANTOS|www.jbcred.com.br|80000084600
46349106|MERCABENCO ADMINISTRADORA DE CONSORCIO LTDA|REINALDO DOS SANTOS BENTAJA|http://www.mercabenco.com|080079940000
71261184|COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DO CAPARAÓ LTDA. - SICOOB SAÚDE|ANA CRISTINA KAMIMURA ANDRADE||08009400602
05211129|COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA CENTRO NORTE - CRESOL CENTRO NORTE|VOLMIR OLDONI|http://cresolsicoper.com.br/|08006482300
07465539|COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA ALTO VALE - CRESOL ALTO VALE|CIMARA FISTAROL|www.cresolsicoper.com.br|08006482300
52137361|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA PREFEITURA MUNICIPAL DE VOTORANTIM|MELIANE CRISTINA DE ALMEIDA||32430001058
52937216|BEXS CORRETORA DE CÂMBIO S/A|BRUNA LOURENCETTI|www.bexscorretora.com.br|08007772397
59395061|DISAL ADMINISTRADORA DE CONSÓRCIOS LTDA|CRISTIANE DE SOUZA BOMFIM|www.disalconsorcio.com.br|08007252289
07333726|ONNIX CORRETORA DE CÂMBIO LTDA.|JOAO CARLOS MARTINEWSKI|www.onnix.com.br|08007017576
01705236|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED PROSPERAR LTDA. - UNICRED PROSPERAR|PAULINE BECKEL OLIVEIRA|www.unicred-fronteira.com.br|08006489000
02230138|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS KYN COMÉRCIO VAREJISTA E ATACADISTA LTDA.|CAROLINE BROTTO DELFINI RODRIGUES||(00) 00000000
07652226|LECCA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A|JULIANE ANDRADE DE CARVALHO|lecca.com.br|08007099944
32206435|SUL AMERICA INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.|CARLA APARECIDA DEVECCHI|www.sulamerica.com.br|08007253374
06373777|BOA VIAGEM SOCIEDADE CORRETORA DE CÂMBIO LTDA.|AMANDA ROBERTA GRAMINHA GALLEGO||08007705422
58158387|DIRECAO S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO|ALINE CAMARGO PRECIOSO||(13) 8007744147
01997612|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA FUNDAÇÃO ZERBINI E DA FUNDAÇÃO FACULDADE DE MEDICINA (FFM) - COOPINCOR|KARINA JORDAO ROCHA|www.coopincor.com.br|08008005656
53776852|COOPERATIVA DE CREDITO DOS FORNECEDORES DE CANA E DEMAIS PRODUTORES RURAIS DO CENTRO DO ESTADO DE SAO PAULO - CREDICENTRO|RODRIGO DONIZETI DE ALMEIDA|www.credicentrosp.com.br|(16) 07749080
44223196|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA RECKITT BENCKISER|KARINA JORDAO ROCHA||08009409360
20833976|COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS MUNICIPAIS DE TIMÓTEO LTDA. - COOPERTIM|ANA CRISTINA KAMIMURA ANDRADE||08007250996
13486793|BRL TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.|BRUNO CAMARGO BRANDELIONI DE OLIVEIRA|www.brltrust.com.br|08007100025
13059145|BEXS BANCO DE CÂMBIO S/A|BRUNA LOURENCETTI|www.bexsbanco.com.br|08007772397
65635377|NGO ASSOCIADOS CORRETORA DE CÂMBIO LTDA.|JANDERSON NOGUEIRA PEREIRA|www.ngo.com.br|(11) 8007779504
08030215|BMG S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS|LILIAN DA CONCEICAO DE OLIVEIRA BOMBINHO|www.bancocifra.com.br|08007232044
31880826|BANCO GUANABARA S.A.|RAQUEL PEREIRA DA SILVA|www.bcoguan.com.br|08002822561
43060029|NOVINVEST CORRETORA DE VALORES MOBILIARIOS LTDA.|JOSE OSWALDO MORALES JUNIOR|www.novinvest.com.br|08007222285
88952130|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO GERDAU - AÇOS FINOS PIRATINI|GISLAINE PASA||08006466140
62237649|CAROL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.|CLELIA PANSANATO ALEXANDRE||08007717050
03918382|AGENCIA DE FOMENTO DE GOIAS S/A|MONICA ROSIMIRA PIRES DE LIMA|www.fomento.goias.gov.br|08006491000
10853017|GET MONEY CORRETORA DE CÂMBIO S.A.|KATIA DE FATIMA DUTRA||08007742006
40429946|BANCO PORTO REAL DE INVESTIMENTOS S.A|EDLENE CONCEICAO PAIVA||08002811400
36113876|OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIARIOS S.A.|ROBERTA ODYLLA LIMA BRUM TEIXEIRA DE FREITAS|www.oliveiratrust.com.br|08002829900
08253539|COOPERATIVA DE CRÉDITO RURAL DE SÃO MIGUEL DO OESTE - SULCREDI/SÃO MIGUEL|DIANKARLA BIANCHETTI MARANGON|www.sulcredi.coop.br|08009320000
03973743|COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS IND.ALIMENTACAO REG.GRDE.VITORIA EST.ES-CREDI-ALIMENTO|ARI GEORGE FLORIANO DE SIQUEIRA|http://www.cecoop.com.br/credialimento|(00) 00000000
92228410|OMNI S.A. - CREDITO FINANCIAMENTO E INVESTIMENTO|SERGIO BUARQUE DE FREITAS GUIMARAES|www.omni.com.br|08007010412
33923111|BRKB DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.|YASMIN TEIXEIRA DE CARVALHO|www.brkbdtvm.com.br|08008820082
62264924|CP & FRIZZO - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA|SILVIO HIDEO TANI|www.cpfrizzo.com.br|08002829900
15077393|MEGA CORRETORA DE CÂMBIO LTDA.|JULIANA DALESSIO POMELA|www.megacambio.com.br|08007742006
13673855|FRAM CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.|ROBERTA GODOY FAUTH|www.framcapital.com|08009417680
72556996|ÍCARO CORRETORA DE CÂMBIO LTDA|AGNALDO CANDIDO DOS SANTOS|www.icarocorretora.com.br|(41) 32226674
21275235|ATUAL ADMINISTRADORA DE CONSÓRCIO LTDA.|LUCIANA OLIVEIRA SILVA||08002833338
17904906|BRX CORRETORA DE CÂMBIO LTDA.|ANA ALICE ROCHA|www:/brxcambio.com.br|08007705422
89784367|EBADIVAL - E. BAGGIO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.|EVANA BAGGIO PORTUGAL|www.ebadival.com.br|08006444030
11495073|OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA|DANIELA LEITE MARQUES||08007728006
18846364|OMNI S.A. ARRENDAMENTO MERCANTIL|SERGIO BUARQUE DE FREITAS GUIMARAES|www.omni.com.br|01108007010412
03427097|COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUL CATARINENSE - ACENTRA|JAQUELINE LEITE MOREIRA VERDI|www.acentra.coop.br|08006441100
19551787|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVENTUÁRIOS DA CIMENTO TUPI S.A. E EMPRESAS COLIGADAS LTDA. - TUPICRED|LARISSA MORAIS DE RESENDE||08007250996
54708839|SPERTA ADMINISTRADORA DE CONSORCIO NACIONAL LTDA|RAFAEL BALBO OLIVEIRA|www.sperta.com.br|08007703659
02072790|COOPERATIVA DE ECONOMIA CRÉDITO MÚTUO - SICOOB CREDSAÚDE|ANA CRISTINA KAMIMURA ANDRADE||(00) 00000000
17315359|SITA SOCIEDADE CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A|ROSILENE FERREIRA DE LANA|www.sita.com.br|(31) 33034899
00997804|OURINVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.|MARILIA TEIXEIRA PRANDINI|http://www.ourinvest.com.br/pt|08007754000
73077398|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA EATON|ANA CRISTINA KAMIMURA ANDRADE||08007250996
01073966|COOPERATIVA DE CRÉDITO RURAL DE ABELARDO LUZ - SULCREDI/CREDILUZ|EVANDRO BONETTI|www.sulcrediab.com.br|(00) 8000020241
32648370|FAIR CORRETORA DE CAMBIO S.A.|SILVIO BASQUE|www.fairccv.com.br|08002829900
20158571|HR SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.|MIRELA FRANCABANDIERA JORGE|www.hrcred.com.br|08000675757
05746715|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA SECRETARIA DE DEFESA SOCIAL DO ESTADO DE MINAS GERAIS LTDA. - COOPSESP|LORENA GARCIA BRAGANCA|www.coopsesp.com.br|08002225529
47658539|CONSÓRCIO NACIONAL VOLKSWAGEN - ADMINISTRADORA DE CONSÓRCIO LTDA.|KATIA CRISTINA BOTELHO NETO|www.cnvw.com.br|08007012834
42107706|COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DE ELEVADORES ATLAS SCHINDLER LTDA.|MARCUS MANTOVANI VALENCA|www.coopschindler.com.br|08002826401
03870838|FUGANTI ADMINISTRADORA DE CONSÓRCIOS LTDA.|JOSMAR ANTONIO BERNARDI|www.consorciojoauto.com.br|08007220224
62421979|BANCO CIFRA S.A.|LILIAN DA CONCEICAO DE OLIVEIRA BOMBINHO|www.bancocifra.com.br|08007232044
05351887|ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A|DANIELLA REZENDE DE CARVALHO|https://portal.zema.com/negocios/financeira/|08000956702
24074692|GUITTA CORRETORA DE CAMBIO LTDA.|ANA ALICE ROCHA|guitta.com.br|08007705422
92459213|CONESUL ADMINISTRADORA DE CONSÓRCIOS LTDA.|RAFAEL COSTA BEBER||08006017900
20269566|VNK SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.|SAMILE AZEVEDO HERCULANO||08000675757
02853045|COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E DEMAIS PROFISSIONAIS DA SAUDE DE JOACABA|MIGUEL IGOR RUSSOWSKY||08006434346
78688462|FIPAL ADMINISTRADORA DE CONSÓRCIOS LTDA|CLAUDIA ROBERTA APEL|www.consorciofipal.com.br|08006451080
21597133|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA BECTON DICKINSON INDÚSTRIAS CIRÚRGICAS LTDA., LTDA.|ANDERSON MONTINI NETTO||08007020480
73302408|EXIM CORRETORA DE CAMBIO LTDA|SANDRA LUIZA RUSCHEL MANCIO|www.exim.com.br|(51) 8006432411
33851064|DILLON S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS|FRANCISCO JOSE PALETTA PICORELLI|www.dillon.com.br|08007231388
42445122|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO E EMPREGADOS EM ESTABELECIMENTOS PRIVADOS DE ENSINO DO MUNICÍPIO DO RIO DE JANEIRO LTDA.|NAIADE VACCARIELLO DE ALMEIDA||08002767777
04684647|ARC CORRETORA DE CAMBIO, ASSOCIADOS GOUVEIA, CAMPEDELLI S.A.|ANA ALICE ROCHA|www.arccorretora.com.br|08007705422
15168152|CONSEGTUR CORRETORA DE CÂMBIO LTDA.|VANESSA RODRIGUES DE SANTANA|www.consegturcorretora.com.br|08007742006
90982679|ALPHA ADMINISTRADORA DE CONSÓRCIO LTDA.|GLADIR PEDRO BALESTRIN|www.grupoalpha.com.br|(54) 8006423119
18145784|NUMATUR CORRETORA DE CÂMBIO LTDA.|ANA PAULA DE FREITAS||08007705422
08570707|ELDORADO ADMINISTRADORA DE CONSORCIO LTDA|JULIANA DA ROCHA BARBOSA||08007076880
11581339|BMP SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LTDA.|MIRELA FRANCABANDIERA JORGE||08000675757
41931221|COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PITANGUI, PAPAGAIOS, MARAVILHAS E REGIÃO LTDA. - SICOOB CREDICOOP|ANA CRISTINA KAMIMURA ANDRADE||08007250996
26225776|CENTROCRED S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTOS|KELLY AMANDA SIMOES|www.centrocredfinanceira.com.br|08005128080
47509120|BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL|NAIRO JOSE MARTINELLI VIDAL JUNIOR||08007279933
20062766|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COLABORADORES DO GRUPO EMPRESARIAL A COSTA LTDA.|LARISSA RODRIGUES DUARTE|www.coopercredpifpaf.coop.br|(00) 00000000
17441197|ECONOMISA COMPANHIA HIPOTECÁRIA.|IVAIR PEREIRA DE SOUZA|www.economisa.com.br|08009413266
68742204|NUMBER ONE SOCIEDADE CORRETORA DE CAMBIO LTDA.|DANIELY NASCIMENTO DE LIMA|www.number.com.br|08007240244
00129753|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DAS EMPRESAS SOMART LTDA.|VERONICA FERREIRA DE PAULA||(00) 00000000
06369729|COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DAS INDÚSTRIAS DO PAPEL, PAPELÃO E CORTIÇA DE OTACÍLIO COSTA, LAGES E CORREA PINTO - PAPELCREDI|CLAUDECIR VARGAS LOPES||(00) 00000000
59620708|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA INTERNATIONAL INDÚSTRIA AUTOMOTIVA DA AMÉRICA DO SUL|KARINA JORDAO ROCHA||08007250996
46570800|ALFA ARRENDAMENTO MERCANTIL S.A.|OSMIR CONTRI|www.alfanet.com.br|08007220140
50585090|BCV - BANCO DE CRÉDITO E VAREJO S.A.|LILIAN DA CONCEICAO DE OLIVEIRA BOMBINHO|www.bancobcv.com.br|08007232044
97447304|MOMENTO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA|DANIEL ALVES FERREIRA||08002820475
80202872|CORREPARTI CORRETORA DE CAMBIO LTDA|ALUIZIO GOMES DA SILVA|correparti.com.br|(41) 8006043003
15227994|SIMPLIFIC PAVARINI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA|MARCUS VENICIUS BELLINELLO DA ROCHA|simplificpavarini.com.br|08002829900
25606237|COOPERATIVA DE POUPANÇA E CRÉDITO DO VALE DO RIO DOCE LTDA - SICOOB CREDIRIODOCE|ANA CRISTINA KAMIMURA ANDRADE|www.sicoobcrediriodoce.com.br|08007250996
01301541|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS BANCÁRIOS DO TRIÂNGULO LTDA.|ADENOR SEVERINO MACHADO JUNIOR||(34) 800940432
32430233|COOPERATIVA DE CRÉDITO LESTE CAPIXABA - SICOOB LESTE CAPIXABA|ANA CRISTINA KAMIMURA ANDRADE|www.sicoobes.com.br|(00) 00000000
45441789|ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA|JOSE RICARDO BRANDAO PEREIRA|www.consorcionacionalhonda.com.br|08007715707
15761217|CORRETORA DE CÂMBIO AÇORIANA LIMITADA.|TAYUANA TAMARA FELIPONI|www.acorianacorretora.com.br|08005913042
00266031|CICAL ADMINISTRADORA DE CONSÓRCIOS LTDA|VICTOR VIEIRA DAS NEVES NUNES||08007073516
07441209|BANCO MONEO S.A.|TAIS ANDREIA CROTTI|www.bancomoneo.com.br|08007235040
25798596|COOPERATIVA DE CRÉDITO CREDIVAR LTDA. - SICOOB CREDIVAR|ANA CRISTINA KAMIMURA ANDRADE|www.credivar.com.br|08007250996
61747085|TULLETT PREBON BRASIL CORRETORA DE VALORES E CÂMBIO LTDA|CLAUDIA CATARYNE GOMES DA SILVA|tullettprebon.com.br|08007222281
26359745|COOPERATIVA DE CRÉDITO SICOOBMAIS  LTDA. - SICOOBMAIS|ANA CRISTINA KAMIMURA ANDRADE||08007250996
17364795|MERCANTIL DO BRASIL DISTRIBUIDORA S.A. - TÍTULOS E VALORES MOBILIÁRIOS|DAISY DE MORAES RIBEIRO LOBATO|www.mercantil.com.br|08007070384
07631026|GOLCRED S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO|MARIANA MENEGASSO BONETTI|www.golcred.com.br|08006470845
15581638|FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO|YASMIN RODRIGUES VARGAS|www.factafinanceira.com.br|08002322222
53211488|TARRAF ADMINISTRADORA DE CONSÓRCIOS LTDA.|JOSELAINE PEREIRA DE SOUZA DOS SANTOS|www.consorciotarraf.com.br|08007074499
07397614|SICOOB DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.|ANA CRISTINA KAMIMURA ANDRADE||08006464001
06046109|BRISA ADMINISTRADORA DE CONSORCIOS LTDA|ANDREIA CAETANO SOUZA||08000285977
76543115|BANCO SISTEMA S.A.|MARILIA TEIXEIRA PRANDINI|www.btgpactual.com|(41) 35253800
11406965|HAITONG DO BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.|MARIA GORETE LEITE|www.haitongib.com.br|08007700668
62178421|ALFA CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A.|OSMIR CONTRI|www.alfanet.com.br|08007220140
18539102|CHG-MERIDIAN DO BRASIL ARRENDAMENTO MERCANTIL S.A.|GABRIELA ORTUNHO DO NASCIMENTO|www.chg-meridian.com|08003026046
53146221|FAMÍLIA PAULISTA COMPANHIA HIPOTECÁRIA|JACINTA DA ENCARNACAO GIL ALVES||(13) 02112113
83648303|JUGASA ADMINISTRADORA DE CONSÓRCIO S/A|RICARDO GAIDZINSKI||08006480099
07512441|HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS|JAQUELINE KLEIN|www.hsfinanceira.com.br|08006487070
28762249|SADOC SOCIEDADE CORRETORA DE CÂMBIO LTDA.|VANESSA DA SILVA BEZERRA||08007742006
96477906|SOLIDEZ - CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA|ROBERTA CASTANHEIRA DO MONTE CALLEGARI|solidez.com.br|08002829900
00250699|AGK CORRETORA DE CAMBIO S.A.|ANA ALICE ROCHA|www.agkcorretora.com.br|08007705422
11760553|GAZINCRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO|SOLIANE JANAINA SANDRI|www.gazincred.com.br|08007074580
30586895|COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DOS LABORATORIOS B.BRAUN LTDA|NAIADE VACCARIELLO DE ALMEIDA||08002767777
17352220|SENSO CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A|VIVIAN ROCHA MARRIEL|www.sensocorretora.com.br|(21) 8002829900
00913314|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA MAGNESITA REFRATÁRIOS S.A. LTDA. - CECREM|CARLOS ALBERTO ILDEFONSO|www.cecrem.com.br|08007250996
60732997|UNIFISA ADMINISTRADORA NACIONAL DE CONSORCIOS LTDA|THIAGO PINHEIRO SAVIAN|www.unifisa.com.br|08007732301
92858380|CORRETORA GERAL DE VALORES E CÂMBIO LTDA|JULIANA SANTOS DOS PASSOS|www.geralinvestimentos.com.br|08007742006
01155801|COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA CENTRO SERRA - CRESOL CENTRO SERRA|OZIEL LOURENCO|www.cresolsicoper.com.br|08006424800
12599971|CREDITÁ S/A CRÉDITO, FINANCIAMENTO E INVESTIMENTO|FRANCINE MORGENSTERN KUSTER|www.creditasa.com.br|08006485060
02814832|COOPERATIVA DE CRÉDITO COOPHARMA|BRUNA MAIA VELOSO||08007250996
25674235|MUNDINVEST S.A.-CORRETORA DE CAMBIO E VALORES MOBILIARIOS|JOSE DOMINGOS VIEIRA FURTADO|www.mundinvest.com.br|80000378414
02992317|TREVISO CORRETORA DE CÂMBIO S.A.|ANA ALICE ROCHA|www.trevisocc.com.br|08007705422
64237530|COOPERATIVA DE CRÉDITO CREDIUNA LTDA - SICOOB CREDIUNA|ANA CRISTINA KAMIMURA ANDRADE|www.sicoobcrediuna.com.br|08007250996
50543883|SIMÃO ADMINISTRADORA DE CONSÓRCIOS LTDA|ROMINA SIMOES GROSSI SIMAO||08007717072
37137767|JORLAN ADMINISTRADORA DE CONSÓRCIO LTDA.|TANIA FERREIRA|www.jorlan.com.br/consorcio|08007225250
02931668|COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DO RIO DE JANEIRO - SICOOB FLUMINENSE|ANA CRISTINA KAMIMURA ANDRADE|www.sicoobfluminense.com.br|08007250996
04772908|ATLANTA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR LTDA|GLEIDE APARECIDA ROSA FERREIRA||08000314797
58229246|BRADESCO-KIRTON CORRETORA DE CÂMBIO S.A.|NAIRO JOSE MARTINELLI VIDAL JUNIOR||08007013904
71392047|COOPERATIVA DE CRÉDITO MONTECREDI LTDA. - SICOOB MONTECREDI|ANA CRISTINA KAMIMURA ANDRADE||08007250996
03102185|COOPERATIVA DE CRÉDITO DOS SERVIDORES DA UNIÃO, EMPRESÁRIOS, PROFISSIONAIS AUTÔNOMOS E LIBERAIS - SICOOB CENTRO NORDESTE|ANA CRISTINA KAMIMURA ANDRADE||08007250996
00731320|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA MORLAN - CRED MORLAN|JOSE LUIS DE AZEVEDO|www.morlan.com.br|08007250996
92675578|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO SISTEMA FIERGS - CRESUL|JESSICA EVELISE DA COSTA CORREA|www.cresul.coop.br|08006466140
87636635|SPONCHIADO ADMINISTRADORA DE CONSÓRCIOS LTDA.|CARLOS ALBERTO SPONCHIADO|www.sponchiado.com.br|08006455888
87636643|SOCIEDADE ADMINISTRADORA DE CONSÓRCIOS LTDA.|RAFAEL CARLO MICHELIN|www.sacconsorcios.com.br|08006442523
92764489|CCB BRASIL S.A. - CRÉDITO, FINANCIAMENTOS E INVESTIMENTOS|VALDERCI DO ROCIO PRZYBYSZ|www.sulfinanceira.com.br|08007252242
59615005|PATACÃO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.|GIOVANNA MARIA DE CARVALHO PINTO|www.patacaodtvm.com.br|08007705422
08482873|COOPERATIVA DE CRÉDITO RURAL DO AGRESTE ALAGOANO - COOPERAGRE|ALCEMAR LUIZ CANDIOTO||(00) 00000000
62605290|COOPERATIVA DE CRÉDITO DOS EMPREGADOS DAS EMPRESAS DO GRUPO INDORAMA NO BRASIL|ANA CRISTINA KAMIMURA ANDRADE||08007250996
30412977|ADMINISTRADORA DE CONSÓRCIO NACIONAL LÍDER LTDA.|CELSO DUARTE DA SILVEIRA|www.consorciolider.com.br|08002822977
00803287|COOPERATIVA DE CRÉDITO CREDIVAZ LTDA. - SICOOB CREDIVAZ|ANA CRISTINA KAMIMURA ANDRADE||08007250996
81367880|COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SUL CATARINENSE - SICOOB CREDISULCA SC|ANA CRISTINA KAMIMURA ANDRADE||08007250996
